TIME,LABEL
177.436,M119B2
177.811,M119B3
178.186,M119B4
178.561,M120B1
178.936,M120B2
179.311,M120B3
179.686,M120B4
180.061,M121B1
180.436,M121B2
180.811,M121B3
181.186,M121B4
181.561,M122B1
181.936,M122B2
182.311,M122B3
182.686,M122B4
183.061,M123B1
183.436,M123B2
183.811,M123B3
184.186,M123B4
184.561,M124B1
184.936,M124B2
185.311,M124B3
185.686,M124B4
186.061,M125B1
186.436,M125B2
186.811,M125B3
187.186,M125B4
187.561,M126B1
187.936,M126B2
188.311,M126B3
188.686,M126B4
189.061,M127B1
189.436,M127B2
189.811,M127B3
190.186,M127B4
190.561,M128B1
190.936,M128B2
191.311,M128B3
191.686,M128B4
192.061,M129B1
192.436,M129B2
192.811,M129B3
193.186,M129B4
193.561,M130B1
193.936,M130B2
194.311,M130B3
194.686,M130B4
195.061,M131B1
195.436,M131B2
195.811,M131B3
196.186,M131B4
196.561,M132B1
196.936,M132B2
197.311,M132B3
197.686,M132B4
198.061,M133B1
198.436,M133B2
198.811,M133B3
199.186,M133B4
199.561,M134B1
199.936,M134B2
200.311,M134B3
200.686,M134B4
201.061,M135B1
201.436,M135B2
201.811,M135B3
202.186,M135B4
202.561,M136B1
202.936,M136B2
203.311,M136B3
203.686,M136B4
204.061,M137B1
204.436,M137B2
204.811,M137B3
205.186,M137B4
205.561,M138B1
205.936,M138B2
206.311,M138B3
206.686,M138B4
207.061,M139B1
207.436,M139B2
207.811,M139B3
208.186,M139B4
208.561,M140B1
208.936,M140B2
209.311,M140B3
209.686,M140B4
210.061,M141B1
210.436,M141B2
210.811,M141B3
211.186,M141B4
211.561,M142B1
211.936,M142B2
212.311,M142B3
212.686,M142B4
213.061,M143B1
213.436,M143B2
213.811,M143B3
214.186,M143B4
214.561,M144B1
214.936,M144B2
215.311,M144B3
215.686,M144B4
216.061,M145B1
216.436,M145B2
216.811,M145B3
217.186,M145B4
217.561,M146B1
217.936,M146B2
218.311,M146B3
218.686,M146B4
219.061,M147B1
219.436,M147B2
219.811,M147B3
220.186,M147B4
220.561,M148B1
220.936,M148B2
221.311,M148B3
221.686,M148B4
222.061,M149B1
222.436,M149B2
222.811,M149B3
223.186,M149B4
223.561,M150B1
223.936,M150B2
224.311,M150B3
224.686,M150B4
225.061,M151B1
225.436,M151B2
225.811,M151B3
226.186,M151B4
226.561,M152B1
226.936,M152B2
227.311,M152B3
227.686,M152B4
228.061,M153B1
228.436,M153B2
228.811,M153B3
229.186,M153B4
229.561,M154B1
229.936,M154B2
230.311,M154B3
230.686,M154B4
