time,measure,beat,is_first_in_measure
119.342,80,3,False
119.717,80,4,False
120.092,81,1,True
120.467,81,2,False
120.842,81,3,False
121.217,81,4,False
121.592,82,1,True
121.967,82,2,False
122.342,82,3,False
122.717,82,4,False
123.092,83,1,True
123.467,83,2,False
123.842,83,3,False
124.217,83,4,False
124.592,84,1,True
124.967,84,2,False
125.342,84,3,False
125.717,84,4,False
126.092,85,1,True
126.467,85,2,False
126.842,85,3,False
127.217,85,4,False
127.592,86,1,True
127.967,86,2,False
128.342,86,3,False
128.717,86,4,False
129.092,87,1,True
129.467,87,2,False
129.842,87,3,False
130.217,87,4,False
130.592,88,1,True
130.967,88,2,False
131.342,88,3,False
131.717,88,4,False
132.092,89,1,True
132.467,89,2,False
132.842,89,3,False
133.217,89,4,False
133.592,90,1,True
133.967,90,2,False
134.342,90,3,False
134.717,90,4,False
135.092,91,1,True
135.467,91,2,False
135.842,91,3,False
136.217,91,4,False
136.592,92,1,True
136.967,92,2,False
137.342,92,3,False
137.717,92,4,False
138.092,93,1,True
138.467,93,2,False
138.842,93,3,False
139.217,93,4,False
139.592,94,1,True
139.967,94,2,False
140.342,94,3,False
140.717,94,4,False
141.092,95,1,True
141.467,95,2,False
141.842,95,3,False
142.217,95,4,False
142.592,96,1,True
142.967,96,2,False
143.342,96,3,False
143.717,96,4,False
144.092,97,1,True
144.467,97,2,False
144.842,97,3,False
145.217,97,4,False
145.592,98,1,True
145.967,98,2,False
146.342,98,3,False
146.717,98,4,False
147.092,99,1,True
147.467,99,2,False
147.842,99,3,False
148.217,99,4,False
148.592,100,1,True
148.967,100,2,False
149.342,100,3,False
149.717,100,4,False
150.092,101,1,True
150.467,101,2,False
150.842,101,3,False
151.217,101,4,False
151.592,102,1,True
151.967,102,2,False
152.342,102,3,False
152.717,102,4,False
153.092,103,1,True
153.467,103,2,False
153.842,103,3,False
154.217,103,4,False
154.592,104,1,True
154.967,104,2,False
155.342,104,3,False
155.717,104,4,False
156.092,105,1,True
156.467,105,2,False
156.842,105,3,False
157.217,105,4,False
157.592,106,1,True
157.967,106,2,False
158.342,106,3,False
158.717,106,4,False
159.092,107,1,True
159.467,107,2,False
159.842,107,3,False
160.217,107,4,False
160.592,108,1,True
160.967,108,2,False
161.342,108,3,False
161.717,108,4,False
162.092,109,1,True
162.467,109,2,False
162.842,109,3,False
163.217,109,4,False
163.592,110,1,True
163.967,110,2,False
164.342,110,3,False
164.717,110,4,False
165.092,111,1,True
165.467,111,2,False
165.842,111,3,False
166.217,111,4,False
166.592,112,1,True
166.967,112,2,False
167.342,112,3,False
167.717,112,4,False
168.092,113,1,True
168.467,113,2,False
168.842,113,3,False
169.217,113,4,False
169.592,114,1,True
169.967,114,2,False
170.342,114,3,False
170.717,114,4,False
171.092,115,1,True
171.467,115,2,False
171.842,115,3,False
172.217,115,4,False
172.592,116,1,True
172.967,116,2,False
173.342,116,3,False
173.717,116,4,False
174.092,117,1,True
174.467,117,2,False
174.842,117,3,False
175.217,117,4,False
175.592,118,1,True
175.967,118,2,False
176.342,118,3,False
176.717,118,4,False
177.092,119,1,True
177.467,119,2,False
177.842,119,3,False
178.217,119,4,False
178.592,120,1,True
178.967,120,2,False
179.342,120,3,False
179.717,120,4,False
180.092,121,1,True
180.467,121,2,False
180.842,121,3,False
181.217,121,4,False
181.592,122,1,True
181.967,122,2,False
182.342,122,3,False
182.717,122,4,False
183.092,123,1,True
183.467,123,2,False
183.842,123,3,False
184.217,123,4,False
184.592,124,1,True
184.967,124,2,False
185.342,124,3,False
185.717,124,4,False
186.092,125,1,True
186.467,125,2,False
186.842,125,3,False
187.217,125,4,False
187.592,126,1,True
187.967,126,2,False
188.342,126,3,False
188.717,126,4,False
189.092,127,1,True
189.467,127,2,False
189.842,127,3,False
190.217,127,4,False
190.592,128,1,True
190.967,128,2,False
191.342,128,3,False
191.717,128,4,False
192.092,129,1,True
192.467,129,2,False
192.842,129,3,False
193.217,129,4,False
193.592,130,1,True
193.967,130,2,False
194.342,130,3,False
194.717,130,4,False
195.092,131,1,True
195.467,131,2,False
195.842,131,3,False
196.217,131,4,False
196.592,132,1,True
196.967,132,2,False
197.342,132,3,False
197.717,132,4,False
198.092,133,1,True
198.467,133,2,False
198.842,133,3,False
199.217,133,4,False
199.592,134,1,True
199.967,134,2,False
200.342,134,3,False
200.717,134,4,False
201.092,135,1,True
201.467,135,2,False
201.842,135,3,False
202.217,135,4,False
202.592,136,1,True
202.967,136,2,False
203.342,136,3,False
203.717,136,4,False
204.092,137,1,True
204.467,137,2,False
204.842,137,3,False
205.217,137,4,False
205.592,138,1,True
205.967,138,2,False
206.342,138,3,False
206.717,138,4,False
207.092,139,1,True
207.467,139,2,False
207.842,139,3,False
208.217,139,4,False
208.592,140,1,True
208.967,140,2,False
209.342,140,3,False
209.717,140,4,False
210.092,141,1,True
210.467,141,2,False
210.842,141,3,False
211.217,141,4,False
211.592,142,1,True
211.967,142,2,False
212.342,142,3,False
212.717,142,4,False
213.092,143,1,True
213.467,143,2,False
213.842,143,3,False
214.217,143,4,False
214.592,144,1,True
214.967,144,2,False
215.342,144,3,False
215.717,144,4,False
216.092,145,1,True
216.467,145,2,False
216.842,145,3,False
217.217,145,4,False
217.592,146,1,True
217.967,146,2,False
218.342,146,3,False
218.717,146,4,False
219.092,147,1,True
219.467,147,2,False
219.842,147,3,False
220.217,147,4,False
220.592,148,1,True
220.967,148,2,False
221.342,148,3,False
221.717,148,4,False
222.092,149,1,True
222.467,149,2,False
222.842,149,3,False
223.217,149,4,False
223.592,150,1,True
223.967,150,2,False
224.342,150,3,False
224.717,150,4,False
225.092,151,1,True
225.467,151,2,False
225.842,151,3,False
226.217,151,4,False
226.592,152,1,True
226.967,152,2,False
227.342,152,3,False
227.717,152,4,False
228.092,153,1,True
228.467,153,2,False
228.842,153,3,False
229.217,153,4,False
229.592,154,1,True
229.967,154,2,False
230.342,154,3,False
230.717,154,4,False
231.092,155,1,True
231.467,155,2,False
231.842,155,3,False
232.217,155,4,False
232.592,156,1,True
232.967,156,2,False
233.342,156,3,False
233.717,156,4,False
234.092,157,1,True
234.467,157,2,False
234.842,157,3,False
235.217,157,4,False
235.592,158,1,True
235.967,158,2,False
236.342,158,3,False
236.717,158,4,False
237.092,159,1,True
237.467,159,2,False
237.842,159,3,False
238.217,159,4,False
238.592,160,1,True
238.967,160,2,False
239.342,160,3,False
239.717,160,4,False
240.092,161,1,True
240.467,161,2,False
240.842,161,3,False
241.217,161,4,False
241.592,162,1,True
241.967,162,2,False
242.342,162,3,False
242.717,162,4,False
243.092,163,1,True
243.467,163,2,False
243.842,163,3,False
244.217,163,4,False
244.592,164,1,True
244.967,164,2,False
245.342,164,3,False
245.717,164,4,False
246.092,165,1,True
246.467,165,2,False
246.842,165,3,False
247.217,165,4,False
247.592,166,1,True
247.967,166,2,False
248.342,166,3,False
248.717,166,4,False
249.092,167,1,True
249.467,167,2,False
249.842,167,3,False
250.217,167,4,False
250.592,168,1,True
250.967,168,2,False
251.342,168,3,False
251.717,168,4,False
252.092,169,1,True
252.467,169,2,False
252.842,169,3,False
253.217,169,4,False
253.592,170,1,True
253.967,170,2,False
254.342,170,3,False
254.717,170,4,False
255.092,171,1,True
255.467,171,2,False
255.842,171,3,False
256.217,171,4,False
256.592,172,1,True
256.967,172,2,False
257.342,172,3,False
257.717,172,4,False
258.092,173,1,True
258.467,173,2,False
258.842,173,3,False
259.217,173,4,False
259.592,174,1,True
259.967,174,2,False
260.342,174,3,False
260.717,174,4,False
261.092,175,1,True
261.467,175,2,False
261.842,175,3,False
262.217,175,4,False
262.592,176,1,True
262.967,176,2,False
263.342,176,3,False
263.717,176,4,False
264.092,177,1,True
264.467,177,2,False
264.842,177,3,False
265.217,177,4,False
265.592,178,1,True
265.967,178,2,False
266.342,178,3,False
266.717,178,4,False
267.092,179,1,True
267.467,179,2,False
267.842,179,3,False
268.217,179,4,False
268.592,180,1,True
268.967,180,2,False
269.342,180,3,False
269.717,180,4,False
270.092,181,1,True
270.467,181,2,False
270.842,181,3,False
271.217,181,4,False
271.592,182,1,True
271.967,182,2,False
272.342,182,3,False
272.717,182,4,False
273.092,183,1,True
273.467,183,2,False
273.842,183,3,False
274.217,183,4,False
274.592,184,1,True
274.967,184,2,False
275.342,184,3,False
275.717,184,4,False
276.092,185,1,True
276.467,185,2,False
276.842,185,3,False
277.217,185,4,False
277.592,186,1,True
277.967,186,2,False
278.342,186,3,False
278.717,186,4,False
