time,measure,beat,is_first_in_measure
119.285,80,3,False
119.66,80,4,False
120.035,81,1,True
120.41,81,2,False
120.785,81,3,False
121.16,81,4,False
121.535,82,1,True
121.91,82,2,False
122.285,82,3,False
122.66,82,4,False
123.035,83,1,True
123.41,83,2,False
123.785,83,3,False
124.16,83,4,False
124.535,84,1,True
124.91,84,2,False
125.285,84,3,False
125.66,84,4,False
126.035,85,1,True
126.41,85,2,False
126.785,85,3,False
127.16,85,4,False
127.535,86,1,True
127.91,86,2,False
128.285,86,3,False
128.66,86,4,False
129.035,87,1,True
129.41,87,2,False
129.785,87,3,False
130.16,87,4,False
130.535,88,1,True
130.91,88,2,False
131.285,88,3,False
131.66,88,4,False
132.035,89,1,True
132.41,89,2,False
132.785,89,3,False
133.16,89,4,False
133.535,90,1,True
133.91,90,2,False
134.285,90,3,False
134.66,90,4,False
135.035,91,1,True
135.41,91,2,False
135.785,91,3,False
136.16,91,4,False
136.535,92,1,True
136.91,92,2,False
137.285,92,3,False
137.66,92,4,False
138.035,93,1,True
138.41,93,2,False
138.785,93,3,False
139.16,93,4,False
139.535,94,1,True
139.91,94,2,False
140.285,94,3,False
140.66,94,4,False
141.035,95,1,True
141.41,95,2,False
141.785,95,3,False
142.16,95,4,False
142.535,96,1,True
142.91,96,2,False
143.285,96,3,False
143.66,96,4,False
144.035,97,1,True
144.41,97,2,False
144.785,97,3,False
145.16,97,4,False
145.535,98,1,True
145.91,98,2,False
146.285,98,3,False
146.66,98,4,False
147.035,99,1,True
147.41,99,2,False
147.785,99,3,False
148.16,99,4,False
148.535,100,1,True
148.91,100,2,False
149.285,100,3,False
149.66,100,4,False
150.035,101,1,True
150.41,101,2,False
150.785,101,3,False
151.16,101,4,False
151.535,102,1,True
151.91,102,2,False
152.285,102,3,False
152.66,102,4,False
153.035,103,1,True
153.41,103,2,False
153.785,103,3,False
154.16,103,4,False
154.535,104,1,True
154.91,104,2,False
155.285,104,3,False
155.66,104,4,False
156.035,105,1,True
156.41,105,2,False
156.785,105,3,False
157.16,105,4,False
157.535,106,1,True
157.91,106,2,False
158.285,106,3,False
158.66,106,4,False
159.035,107,1,True
159.41,107,2,False
159.785,107,3,False
160.16,107,4,False
160.535,108,1,True
160.91,108,2,False
161.285,108,3,False
161.66,108,4,False
162.035,109,1,True
162.41,109,2,False
162.785,109,3,False
163.16,109,4,False
163.535,110,1,True
163.91,110,2,False
164.285,110,3,False
164.66,110,4,False
165.035,111,1,True
165.41,111,2,False
165.785,111,3,False
166.16,111,4,False
166.535,112,1,True
166.91,112,2,False
167.285,112,3,False
167.66,112,4,False
168.035,113,1,True
168.41,113,2,False
168.785,113,3,False
169.16,113,4,False
169.535,114,1,True
169.91,114,2,False
170.285,114,3,False
170.66,114,4,False
171.035,115,1,True
171.41,115,2,False
171.785,115,3,False
172.16,115,4,False
172.535,116,1,True
172.91,116,2,False
