TIME,LABEL
132.785,M89B3
133.16,M89B4
133.535,M90B1
133.91,M90B2
134.285,M90B3
134.66,M90B4
135.035,M91B1
135.41,M91B2
135.785,M91B3
136.16,M91B4
136.535,M92B1
136.91,M92B2
137.285,M92B3
137.66,M92B4
138.035,M93B1
138.41,M93B2
138.785,M93B3
139.16,M93B4
139.535,M94B1
139.91,M94B2
140.285,M94B3
140.66,M94B4
141.035,M95B1
141.41,M95B2
141.785,M95B3
142.16,M95B4
142.535,M96B1
142.91,M96B2
143.285,M96B3
143.66,M96B4
144.035,M97B1
144.41,M97B2
144.785,M97B3
145.16,M97B4
145.535,M98B1
145.91,M98B2
146.285,M98B3
146.66,M98B4
147.035,M99B1
147.41,M99B2
147.785,M99B3
148.16,M99B4
148.535,M100B1
148.91,M100B2
149.285,M100B3
149.66,M100B4
150.035,M101B1
150.41,M101B2
150.785,M101B3
151.16,M101B4
151.535,M102B1
151.91,M102B2
152.285,M102B3
152.66,M102B4
153.035,M103B1
153.41,M103B2
153.785,M103B3
154.16,M103B4
154.535,M104B1
154.91,M104B2
155.285,M104B3
155.66,M104B4
156.035,M105B1
156.41,M105B2
156.785,M105B3
157.16,M105B4
157.535,M106B1
157.91,M106B2
158.285,M106B3
158.66,M106B4
159.035,M107B1
159.41,M107B2
159.785,M107B3
160.16,M107B4
160.535,M108B1
160.91,M108B2
161.285,M108B3
161.66,M108B4
162.035,M109B1
162.41,M109B2
162.785,M109B3
163.16,M109B4
163.535,M110B1
163.91,M110B2
164.285,M110B3
164.66,M110B4
165.035,M111B1
165.41,M111B2
165.785,M111B3
166.16,M111B4
166.535,M112B1
166.91,M112B2
167.285,M112B3
167.66,M112B4
168.035,M113B1
168.41,M113B2
168.785,M113B3
169.16,M113B4
169.535,M114B1
169.91,M114B2
170.285,M114B3
170.66,M114B4
171.035,M115B1
171.41,M115B2
171.785,M115B3
172.16,M115B4
172.535,M116B1
172.91,M116B2
173.285,M116B3
173.66,M116B4
174.035,M117B1
174.41,M117B2
174.785,M117B3
175.16,M117B4
175.535,M118B1
175.91,M118B2
176.285,M118B3
176.66,M118B4
177.035,M119B1
177.41,M119B2
177.785,M119B3
178.16,M119B4
178.535,M120B1
178.91,M120B2
179.285,M120B3
179.66,M120B4
180.035,M121B1
180.41,M121B2
180.785,M121B3
181.16,M121B4
181.535,M122B1
181.91,M122B2
182.285,M122B3
182.66,M122B4
183.035,M123B1
183.41,M123B2
183.785,M123B3
184.16,M123B4
184.535,M124B1
184.91,M124B2
185.285,M124B3
185.66,M124B4
186.035,M125B1
186.41,M125B2
186.785,M125B3
187.16,M125B4
187.535,M126B1
187.91,M126B2
188.285,M126B3
188.66,M126B4
189.035,M127B1
189.41,M127B2
189.785,M127B3
190.16,M127B4
190.535,M128B1
190.91,M128B2
191.285,M128B3
191.66,M128B4
192.035,M129B1
192.41,M129B2
192.785,M129B3
193.16,M129B4
193.535,M130B1
193.91,M130B2
194.285,M130B3
194.66,M130B4
195.035,M131B1
195.41,M131B2
195.785,M131B3
196.16,M131B4
196.535,M132B1
196.91,M132B2
197.285,M132B3
197.66,M132B4
198.035,M133B1
198.41,M133B2
198.785,M133B3
199.16,M133B4
199.535,M134B1
199.91,M134B2
200.285,M134B3
200.66,M134B4
201.035,M135B1
201.41,M135B2
201.785,M135B3
202.16,M135B4
202.535,M136B1
202.91,M136B2
203.285,M136B3
203.66,M136B4
204.035,M137B1
204.41,M137B2
204.785,M137B3
205.16,M137B4
205.535,M138B1
205.91,M138B2
206.285,M138B3
206.66,M138B4
207.035,M139B1
207.41,M139B2
207.785,M139B3
208.16,M139B4
208.535,M140B1
208.91,M140B2
209.285,M140B3
209.66,M140B4
210.035,M141B1
210.41,M141B2
210.785,M141B3
211.16,M141B4
211.535,M142B1
211.91,M142B2
212.285,M142B3
212.66,M142B4
213.035,M143B1
213.41,M143B2
213.785,M143B3
214.16,M143B4
214.535,M144B1
214.91,M144B2
215.285,M144B3
215.66,M144B4
216.035,M145B1
216.41,M145B2
216.785,M145B3
217.16,M145B4
217.535,M146B1
217.91,M146B2
218.285,M146B3
218.66,M146B4
219.035,M147B1
219.41,M147B2
219.785,M147B3
220.16,M147B4
220.535,M148B1
220.91,M148B2
221.285,M148B3
221.66,M148B4
222.035,M149B1
222.41,M149B2
222.785,M149B3
223.16,M149B4
223.535,M150B1
223.91,M150B2
224.285,M150B3
224.66,M150B4
225.035,M151B1
225.41,M151B2
225.785,M151B3
226.16,M151B4
226.535,M152B1
226.91,M152B2
227.285,M152B3
227.66,M152B4
228.035,M153B1
228.41,M153B2
228.785,M153B3
229.16,M153B4
229.535,M154B1
229.91,M154B2
230.285,M154B3
230.66,M154B4
231.035,M155B1
231.41,M155B2
231.785,M155B3
232.16,M155B4
232.535,M156B1
232.91,M156B2
233.285,M156B3
233.66,M156B4
234.035,M157B1
234.41,M157B2
234.785,M157B3
235.16,M157B4
235.535,M158B1
235.91,M158B2
236.285,M158B3
236.66,M158B4
237.035,M159B1
237.41,M159B2
237.785,M159B3
238.16,M159B4
238.535,M160B1
