0.092	0.092	M1B1
0.467	0.467	M1B2
0.842	0.842	M1B3
1.217	1.217	M1B4
1.592	1.592	M2B1
1.967	1.967	M2B2
2.342	2.342	M2B3
2.717	2.717	M2B4
3.092	3.092	M3B1
3.467	3.467	M3B2
3.842	3.842	M3B3
4.217	4.217	M3B4
4.592	4.592	M4B1
4.967	4.967	M4B2
5.342	5.342	M4B3
5.717	5.717	M4B4
6.092	6.092	M5B1
6.467	6.467	M5B2
6.842	6.842	M5B3
7.217	7.217	M5B4
7.592	7.592	M6B1
7.967	7.967	M6B2
8.342	8.342	M6B3
8.717	8.717	M6B4
9.092	9.092	M7B1
9.467	9.467	M7B2
9.842	9.842	M7B3
10.217	10.217	M7B4
10.592	10.592	M8B1
10.967	10.967	M8B2
11.342	11.342	M8B3
11.717	11.717	M8B4
12.092	12.092	M9B1
12.467	12.467	M9B2
12.842	12.842	M9B3
13.217	13.217	M9B4
13.592	13.592	M10B1
13.967	13.967	M10B2
14.342	14.342	M10B3
14.717	14.717	M10B4
15.092	15.092	M11B1
15.467	15.467	M11B2
15.842	15.842	M11B3
16.217	16.217	M11B4
16.592	16.592	M12B1
16.967	16.967	M12B2
17.342	17.342	M12B3
17.717	17.717	M12B4
18.092	18.092	M13B1
18.467	18.467	M13B2
18.842	18.842	M13B3
19.217	19.217	M13B4
19.592	19.592	M14B1
19.967	19.967	M14B2
20.342	20.342	M14B3
20.717	20.717	M14B4
21.092	21.092	M15B1
21.467	21.467	M15B2
21.842	21.842	M15B3
22.217	22.217	M15B4
22.592	22.592	M16B1
22.967	22.967	M16B2
23.342	23.342	M16B3
23.717	23.717	M16B4
24.092	24.092	M17B1
24.467	24.467	M17B2
24.842	24.842	M17B3
25.217	25.217	M17B4
25.592	25.592	M18B1
25.967	25.967	M18B2
26.342	26.342	M18B3
26.717	26.717	M18B4
27.092	27.092	M19B1
27.467	27.467	M19B2
27.842	27.842	M19B3
28.217	28.217	M19B4
28.592	28.592	M20B1
28.967	28.967	M20B2
29.342	29.342	M20B3
29.717	29.717	M20B4
30.092	30.092	M21B1
30.467	30.467	M21B2
30.842	30.842	M21B3
31.217	31.217	M21B4
31.592	31.592	M22B1
31.967	31.967	M22B2
32.342	32.342	M22B3
32.717	32.717	M22B4
33.092	33.092	M23B1
33.467	33.467	M23B2
33.842	33.842	M23B3
34.217	34.217	M23B4
34.592	34.592	M24B1
34.967	34.967	M24B2
35.342	35.342	M24B3
35.717	35.717	M24B4
36.092	36.092	M25B1
36.467	36.467	M25B2
36.842	36.842	M25B3
37.217	37.217	M25B4
37.592	37.592	M26B1
37.967	37.967	M26B2
38.342	38.342	M26B3
38.717	38.717	M26B4
39.092	39.092	M27B1
39.467	39.467	M27B2
39.842	39.842	M27B3
40.217	40.217	M27B4
40.592	40.592	M28B1
40.967	40.967	M28B2
41.342	41.342	M28B3
41.717	41.717	M28B4
42.092	42.092	M29B1
42.467	42.467	M29B2
42.842	42.842	M29B3
43.217	43.217	M29B4
43.592	43.592	M30B1
43.967	43.967	M30B2
44.342	44.342	M30B3
44.717	44.717	M30B4
45.092	45.092	M31B1
45.467	45.467	M31B2
45.842	45.842	M31B3
46.217	46.217	M31B4
46.592	46.592	M32B1
46.967	46.967	M32B2
47.342	47.342	M32B3
47.717	47.717	M32B4
48.092	48.092	M33B1
48.467	48.467	M33B2
48.842	48.842	M33B3
49.217	49.217	M33B4
49.592	49.592	M34B1
49.967	49.967	M34B2
50.342	50.342	M34B3
50.717	50.717	M34B4
51.092	51.092	M35B1
51.467	51.467	M35B2
51.842	51.842	M35B3
52.217	52.217	M35B4
52.592	52.592	M36B1
52.967	52.967	M36B2
53.342	53.342	M36B3
53.717	53.717	M36B4
54.092	54.092	M37B1
54.467	54.467	M37B2
54.842	54.842	M37B3
55.217	55.217	M37B4
55.592	55.592	M38B1
55.967	55.967	M38B2
56.342	56.342	M38B3
56.717	56.717	M38B4
57.092	57.092	M39B1
